Filename,Counted_Pollen,Ignored_Pollen,Total_Detections
O.bi10_prov_dil1a10_2026_05_08_04_activemask.jpg,0,0,0
O.bi22_prov_dil1a10_2026_05_08_0015(1).JPG,278,1103,1381
O.bi22_prov_dil1a10_2026_05_08_0015(2).JPG,278,1103,1381
O.bi11_prov_dil1a10_2026_05_08_0014.JPG,343,1484,1827
name_of_your_raw_image.JPG,137,408,545
O.bi24_prov_dil1a10_2026_05_08_0016.JPG,282,1215,1497
O.bi24_prov_dil1a10_2026_05_08_0016(1).JPG,282,1215,1497
O.bi10_prov_dil1a10_2026_05_08_04_grid.JPG,139,392,531
O.bi22_prov_dil1a10_2026_05_08_0015.JPG,278,1103,1381
O.bi18_prov_dil1a10_2026_05_08_0017.JPG,398,1565,1963
O.bi6_scopa_2026_05_08_02.JPG,401,1554,1955
O.bi10_prov_dil1a10_2026_05_08_04.JPG,137,408,545
O.bi18_prov_dil1a10_2026_05_08_0017(1).JPG,398,1565,1963
